API WELL NUMBER,Nearest_SWIW_km
34005209250000,"85    226.058887
Name: geometry, dtype: float64"
34005209260000,"85    225.596786
Name: geometry, dtype: float64"
34005209290000,"85    224.922552
Name: geometry, dtype: float64"
34005209300000,"85    226.08173
Name: geometry, dtype: float64"
34005209490000,"85    226.828182
Name: geometry, dtype: float64"
34005209500000,"85    244.619916
Name: geometry, dtype: float64"
34005209540000,"85    226.353327
Name: geometry, dtype: float64"
34005209570000,"85    226.316139
Name: geometry, dtype: float64"
34005209580000,"85    226.737232
Name: geometry, dtype: float64"
34005209680000,"85    224.964548
Name: geometry, dtype: float64"
34005209690000,"85    225.809127
Name: geometry, dtype: float64"
34005209720000,"85    246.21701
Name: geometry, dtype: float64"
34005209730000,"85    224.970525
Name: geometry, dtype: float64"
34005209740000,"85    226.616935
Name: geometry, dtype: float64"
34005209860000,"85    225.431693
Name: geometry, dtype: float64"
34005209920000,"85    247.191922
Name: geometry, dtype: float64"
34005209950000,"85    224.681465
Name: geometry, dtype: float64"
34005203650000,"85    238.971779
Name: geometry, dtype: float64"
34005229650000,"85    229.61762
Name: geometry, dtype: float64"
34005229670000,"85    229.135895
Name: geometry, dtype: float64"
34005229680000,"85    232.21831
Name: geometry, dtype: float64"
34005229690000,"85    233.113114
Name: geometry, dtype: float64"
34005229700000,"85    234.253669
Name: geometry, dtype: float64"
34005229720000,"85    248.584448
Name: geometry, dtype: float64"
34005229780000,"85    234.138192
Name: geometry, dtype: float64"
34005229790000,"85    233.096563
Name: geometry, dtype: float64"
34005229820000,"85    232.498586
Name: geometry, dtype: float64"
34005229850000,"85    231.17042
Name: geometry, dtype: float64"
34005229890000,"85    238.744422
Name: geometry, dtype: float64"
34005229950000,"85    236.703478
Name: geometry, dtype: float64"
34005229960000,"85    246.21731
Name: geometry, dtype: float64"
34005229970000,"85    246.278399
Name: geometry, dtype: float64"
34005230100000,"85    244.042393
Name: geometry, dtype: float64"
34005230130000,"85    245.485671
Name: geometry, dtype: float64"
34005230830000,"85    245.566853
Name: geometry, dtype: float64"
34005230840000,"85    246.224672
Name: geometry, dtype: float64"
34005230940000,"85    245.514727
Name: geometry, dtype: float64"
34005230950000,"85    241.031062
Name: geometry, dtype: float64"
34005230990000,"85    246.284906
Name: geometry, dtype: float64"
34005231000000,"85    246.372433
Name: geometry, dtype: float64"
34005231130000,"85    245.313324
Name: geometry, dtype: float64"
34005231490000,"85    246.206752
Name: geometry, dtype: float64"
34005231600000,"85    242.495757
Name: geometry, dtype: float64"
34005231820000,"85    245.736092
Name: geometry, dtype: float64"
34005207350000,"85    235.597463
Name: geometry, dtype: float64"
34005207380000,"85    246.460139
Name: geometry, dtype: float64"
34005207450000,"85    229.190311
Name: geometry, dtype: float64"
34005207540000,"85    235.886646
Name: geometry, dtype: float64"
34005207680000,"85    225.745378
Name: geometry, dtype: float64"
34005207790000,"85    246.253564
Name: geometry, dtype: float64"
34005207860000,"85    246.336364
Name: geometry, dtype: float64"
34005207900000,"85    231.232363
Name: geometry, dtype: float64"
34005207910000,"85    227.112164
Name: geometry, dtype: float64"
34005207920000,"85    226.843214
Name: geometry, dtype: float64"
34005208050000,"85    230.01456
Name: geometry, dtype: float64"
34005208060000,"85    228.906648
Name: geometry, dtype: float64"
34005208070000,"85    231.849315
Name: geometry, dtype: float64"
34005208080000,"85    228.665705
Name: geometry, dtype: float64"
34005208090000,"85    230.551009
Name: geometry, dtype: float64"
34005208180000,"85    229.632179
Name: geometry, dtype: float64"
34005208270000,"85    230.220831
Name: geometry, dtype: float64"
34005208400000,"85    228.542156
Name: geometry, dtype: float64"
34005208410000,"85    228.188504
Name: geometry, dtype: float64"
34005219220000,"85    248.876809
Name: geometry, dtype: float64"
34005219230000,"85    241.339319
Name: geometry, dtype: float64"
34005220510000,"85    226.282215
Name: geometry, dtype: float64"
34005220520000,"85    230.846886
Name: geometry, dtype: float64"
34005220550000,"85    227.985967
Name: geometry, dtype: float64"
34005220560000,"85    228.001226
Name: geometry, dtype: float64"
34005220580000,"85    230.539293
Name: geometry, dtype: float64"
34005220660000,"85    246.660445
Name: geometry, dtype: float64"
34005220710000,"85    227.124244
Name: geometry, dtype: float64"
34005220780000,"85    228.517695
Name: geometry, dtype: float64"
34005220790000,"85    230.133728
Name: geometry, dtype: float64"
34005220830000,"85    227.550579
Name: geometry, dtype: float64"
34005220870000,"85    246.594758
Name: geometry, dtype: float64"
34005220880000,"85    246.701731
Name: geometry, dtype: float64"
34005220960000,"85    226.37915
Name: geometry, dtype: float64"
34005221140000,"85    246.756335
Name: geometry, dtype: float64"
34005221420000,"85    246.788441
Name: geometry, dtype: float64"
34005221730000,"85    246.710692
Name: geometry, dtype: float64"
34005221740000,"85    244.329081
Name: geometry, dtype: float64"
34005221950000,"85    247.653989
Name: geometry, dtype: float64"
34005221970000,"85    244.38646
Name: geometry, dtype: float64"
34005221990000,"85    231.18534
Name: geometry, dtype: float64"
34005222720000,"85    246.940803
Name: geometry, dtype: float64"
34005207050000,"85    243.184205
Name: geometry, dtype: float64"
34005207080000,"85    248.50761
Name: geometry, dtype: float64"
34005207110000,"85    248.587564
Name: geometry, dtype: float64"
34005207230000,"85    248.586693
Name: geometry, dtype: float64"
34005207270000,"85    244.950509
Name: geometry, dtype: float64"
34005207300000,"85    248.91027
Name: geometry, dtype: float64"
34005207490000,"85    245.096407
Name: geometry, dtype: float64"
34005207520000,"85    249.552683
Name: geometry, dtype: float64"
34005207570000,"85    249.454642
Name: geometry, dtype: float64"
34005207710000,"85    245.608872
Name: geometry, dtype: float64"
34005207940000,"85    249.461807
Name: geometry, dtype: float64"
34005207960000,"85    245.125173
Name: geometry, dtype: float64"
34005208170000,"85    249.466504
Name: geometry, dtype: float64"
34005208210000,"85    248.481784
Name: geometry, dtype: float64"
34005208250000,"85    245.539543
Name: geometry, dtype: float64"
34005208450000,"85    243.56061
Name: geometry, dtype: float64"
34005208470000,"85    248.998288
Name: geometry, dtype: float64"
34005208510000,"85    247.697811
Name: geometry, dtype: float64"
34005208520000,"85    245.126063
Name: geometry, dtype: float64"
34005208610000,"85    245.419594
Name: geometry, dtype: float64"
34005208670000,"85    243.641081
Name: geometry, dtype: float64"
34005208800000,"85    247.43144
Name: geometry, dtype: float64"
34005208890000,"85    246.819156
Name: geometry, dtype: float64"
34005209040000,"85    247.883304
Name: geometry, dtype: float64"
34005209080000,"85    247.005601
Name: geometry, dtype: float64"
34005209090000,"85    246.925228
Name: geometry, dtype: float64"
34005209200000,"85    245.217939
Name: geometry, dtype: float64"
34005209240000,"85    246.828536
Name: geometry, dtype: float64"
34005209270000,"85    245.499784
Name: geometry, dtype: float64"
34005209330000,"85    249.043746
Name: geometry, dtype: float64"
34005209460000,"85    246.031148
Name: geometry, dtype: float64"
34005218640000,"85    248.629035
Name: geometry, dtype: float64"
34005218790000,"85    247.481905
Name: geometry, dtype: float64"
34005218820000,"85    248.709281
Name: geometry, dtype: float64"
34005218900000,"85    245.597302
Name: geometry, dtype: float64"
34005218990000,"85    247.566259
Name: geometry, dtype: float64"
34005219020000,"85    249.052113
Name: geometry, dtype: float64"
34005219090000,"85    248.841463
Name: geometry, dtype: float64"
34005210040000,"85    225.601745
Name: geometry, dtype: float64"
34005210050000,"85    225.479034
Name: geometry, dtype: float64"
34005210070000,"85    225.917092
Name: geometry, dtype: float64"
34005210080000,"85    225.223176
Name: geometry, dtype: float64"
34005210200000,"85    246.982212
Name: geometry, dtype: float64"
34005210250000,"85    225.880737
Name: geometry, dtype: float64"
34005210310000,"85    247.749302
Name: geometry, dtype: float64"
34005210350000,"85    225.602269
Name: geometry, dtype: float64"
34005210360000,"85    224.919972
Name: geometry, dtype: float64"
34005210430000,"85    248.551711
Name: geometry, dtype: float64"
34005210450000,"85    224.916015
Name: geometry, dtype: float64"
34005210460000,"85    225.436431
Name: geometry, dtype: float64"
34005210470000,"85    225.947001
Name: geometry, dtype: float64"
34005210480000,"85    246.870725
Name: geometry, dtype: float64"
34005210620000,"85    246.189777
Name: geometry, dtype: float64"
