API WELL NUMBER,Nearest_Well_km
34005207580000,244.922735667133
34005207880000,224.13658220418804
34005207890000,248.23280978877906
34005208000000,249.068827091997
34005208030000,247.9499176561443
34005208130000,208.89881467517233
34005208140000,212.007754362097
34005208330000,223.7188409666834
34005202000000,213.1347841053445
34005202120000,220.2923650482141
34005202150000,220.88198435616187
34005202300000,213.04708465672476
34005202340000,211.65652449683495
34005202420000,221.71992057052287
34005202470000,212.83957238286172
34005202490000,227.9394756835135
34005202570000,223.65345427493952
34005202610000,225.2694635153247
34005202680000,247.82304345037983
34005202750000,221.1042171200563
34005202770000,220.68664325409895
34005202830000,205.13539969617628
34005202870000,204.76009860265611
34005202960000,221.19191717073807
34005203030000,205.52519219507204
34005203060000,220.34159842107226
34005203150000,221.58503787087264
34005203180000,245.24167944897368
34005203220000,219.6931866629483
34005203240000,221.07173218646943
34005208900000,244.86827699678472
34005209000000,249.1598063955258
34005209150000,247.94897411211866
34005209160000,248.0310370516336
34005209180000,244.76339088352736
34005209230000,206.3490452264528
34005209250000,206.6291406400736
34005209260000,206.29388540579552
34005209290000,206.03268563598957
34005209300000,207.15443883100247
34005209490000,207.6481282791105
34005209500000,243.2379772586179
34005209540000,207.5861931264603
34005209570000,207.05082536368292
34005209580000,207.0480922550158
34005209680000,206.9690761926463
34005209690000,207.3284501477325
34005209720000,244.71544811691717
34005209730000,206.6631828999813
34005209740000,207.9144357634858
34005209860000,206.91716493713156
34005209920000,246.95040409858677
34005209950000,223.4660525412114
34005203650000,228.28628649698226
34005229650000,220.99959662491636
34005229670000,220.5103333501188
34005229680000,226.8689646990913
34005229690000,227.43518489595908
34005229700000,223.46103817449088
34005229720000,256.65832740148176
34005229780000,224.31203113517978
34005229790000,223.5618027113782
34005229820000,228.0652554923047
34005229850000,224.30743263910364
34005229890000,225.4247528892044
34005229950000,223.9832189751753
34005229960000,232.1385257540434
34005229970000,232.1595588250945
34005230100000,253.83139610695974
34005230130000,251.90458317634443
34005230830000,230.16330715910877
34005230840000,232.0852662308202
34005230940000,230.037830360356
34005230950000,250.72544551599427
34005230990000,232.17305852530444
34005231000000,232.2101897678107
34005231130000,229.76991165000592
34005231490000,232.14574347100276
34005231600000,253.9555155625535
34005231820000,232.6260757725042
34005207350000,223.85942043573692
34005207380000,234.2637401590843
34005207450000,220.79514466448686
34005207540000,224.33019233031487
34005207680000,218.34560136854552
34005207790000,234.08351464377537
34005207860000,234.13818544467864
34005207900000,222.7199319658686
34005207910000,219.60475611888415
34005207920000,218.85172485560128
34005208050000,221.1557609942323
34005208060000,220.96227871299624
