API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34089250490000,40.2232364900696,-82.2984013381602,LBJ DRILLING CO INC,09/05/2014,08/26/2014,PA,aPATT025599,True,aPATT025599,CT,OG_R,,Plug and Abandon
34045204630000,39.659960010599,-82.3778149592273,BARCLAY PETROLEUM INC,09/05/2014,08/26/2014,PA,aPATT025600,True,aPATT025600,CT,OG_R,,Plug and Abandon
34087206760000,38.6402609770237,-82.4335872869729,ENERVEST OPERATING LLC,09/16/2014,08/27/2014,NW,aPATT025601,False,aPATT025601,RTAF,OG_R,,Drill New Well
34087206770000,38.6335097401564,-82.4395478250429,ENERVEST OPERATING LLC,09/16/2014,08/27/2014,NW,aPATT025602,False,aPATT025602,RTAF,OG_R,POOL,Drill New Well
34009212050000,39.54556014129,-82.1018132080382,MATT PROD ENTERPRISES,09/12/2014,08/27/2014,PA,aPATT025603,True,aPATT025603,CT,OG_R,,Plug and Abandon
34031272440000,40.3624996168531,-81.7523787098583,REDNET EXPLORATION LLC,09/05/2014,08/27/2014,NW,aPATT025604,False,aPATT025604,CT,OG_R,POOL,Drill New Well
34013208030000,39.8786282953,-80.9749444199918,GULFPORT ENERGY CORPORATION,09/03/2014,08/27/2014,RRHX,aPATT025605,True,aPATT025605,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34031245880000,40.4339030420316,-82.1414180480401,W H PATTEN  DRILLING CO,09/12/2014,08/28/2014,PA,aPATT025612,True,aPATT025612,SERV,OG_R,,Plug and Abandon
34059243770000,40.1342322280832,-81.3278415337846,AMERICAN ENERGY UTICA LLC,09/25/2014,08/28/2014,RHX,aPATT025613,True,aPATT025613,RTAF,OG_R,EDPW,"Reissue new well, horizontally"
34067211830000,40.2032281160726,-81.162913312372,GULFPORT ENERGY CORPORATION,09/03/2014,08/28/2014,RHX,aPATT025614,True,aPATT025614,RTAF,OG_R,POOL,"Reissue new well, horizontally"
34083246240000,40.3438392838779,-82.2612145491724,McDONALD DALE E,09/09/2014,08/28/2014,NW,aPATT025615,False,aPATT025615,CT,OG_R,POOL,Drill New Well
34157255100000,40.2951537410641,-81.4362553576239,ENERVEST OPERATING LLC,09/03/2014,08/28/2014,RRHX,aPATT025616,True,aPATT025616,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34157254940000,40.295149088558,-81.4363450542117,ENERVEST OPERATING LLC,09/03/2014,08/28/2014,RRHX,aPATT025617,True,aPATT025617,RTAF,OG_R,EDPW,"Reissue revise location new well, horizontally"
34155240920000,41.1760282796511,-80.6686989722811,"BOCOR HOLDINGS, LLC",09/25/2014,08/29/2014,UC1,aPATT025618,False,aPATT025618,RT,OG_R,POOL,Drill New Well Urban 10000
34007245320000,41.7590808142765,-80.7598643749059,MFC DRILLING INC,09/12/2014,08/29/2014,PA,aPATT025619,True,aPATT025619,SERV,OG_R,,Plug and Abandon
34031251600000,40.4046597869205,-81.8221029756847,NORTHWOOD ENERGY CORP,09/12/2014,08/29/2014,PA,aPATT025620,True,aPATT025620,SERV,OG_R,,Plug and Abandon
34083241500000,40.277818111363,-82.3355975487601,KENOIL LLC,09/22/2014,08/29/2014,PB,aPATT025621,True,aPATT025621,SERV,OG_R,POOL,Plug Back
34019225460000,40.4553186319647,-81.1019537920825,CHESAPEAKE EXPLORATION LLC,09/12/2014,08/29/2014,RHX,aPATT025622,True,aPATT025622,RTAF,OG_R,,"Reissue new well, horizontally"
34055221310000,41.3527910780649,-81.0898668732467,EXCALIBUR EXPLORATION INC,09/12/2014,09/02/2014,PA,aPATT025625,True,aPATT025625,SERV,OG_R,,Plug and Abandon
34059229550000,40.0383446802428,-81.5219579367235,ENERVEST OPERATING LLC,09/12/2014,09/02/2014,PA,aPATT025626,True,aPATT025626,SERV,OG_R,,Plug and Abandon
34059236360000,40.2019573480389,-81.3743373681868,TIPKA ENERGY DEVLOPMENT COMPANY,09/12/2014,09/02/2014,PA,aPATT025627,True,aPATT025627,SERV,OG_R,,Plug and Abandon
